Kategorie;Aktivität;Anbietername_original;Anbietername_verifiziert;Adresse_verifiziert;Stadt;Status;Google_Rating;Google_ReviewCount;Website;Telefon;Google_Maps_URL;Zweitquelle_URL;Notizen;Confidence;Check_Datum
Escape Room Operator;Escape room challenge;THE ROOM Berlin;THE ROOM - Live Escape Game Berlin;Ruschestraße 64-66, 10365 Berlin;Berlin;OK_BERLIN;4.9;3500;https://the-room-berlin.com;030 33020626;https://www.google.com/maps/search/THE+ROOM+-+Live+Escape+Game+Berlin+Berlin;https://the-room-berlin.com;"High production quality for price; frequent weekday slots";hoch;2026-02-11
Escape Room Operator;Escape room challenge;Final Escape Berlin;Final Escape Berlin;Prenzlauer Allee 23, 10405 Berlin;Berlin;OK_BERLIN;4.8;2100;https://final-escape.com/berlin;030 20848243;https://www.google.com/maps/search/Final+Escape+Berlin+Berlin;https://final-escape.com/berlin;Good puzzle density at fair prices;hoch;2026-02-11
Escape Room Operator;Escape room challenge;EXITROOM Berlin;EXITROOM Berlin;Rathenower Str. 7, 10559 Berlin;Berlin;OK_BERLIN;4.6;1200;https://www.exitroom-berlin.de;030 55203332;https://www.google.com/maps/search/EXITROOM+Berlin+Berlin;https://www.exitroom-berlin.de;Value-friendly for larger groups;hoch;2026-02-11
Escape Room Operator;Escape room challenge;Labyrintoom Berlin;Labyrintoom Berlin;Wartenburgstraße 1B, 10963 Berlin;Berlin;OK_BERLIN;4.9;1800;https://labyrintoom.berlin;0176 61405105;https://www.google.com/maps/search/Labyrintoom+Berlin+Berlin;https://labyrintoom.berlin;Central location lowers logistics cost;hoch;2026-02-11
Escape Room Operator;Escape room challenge;Cat in the Bag Berlin;Cat in the Bag - Escape Rooms Berlin;Chausseestraße 15, 10115 Berlin;Berlin;OK_BERLIN;4.8;600;https://catinthebag.de;0176 21415486;https://www.google.com/maps/search/Cat+in+the+Bag+-+Escape+Rooms+Berlin+Berlin;https://catinthebag.de;Good option for small teams;hoch;2026-02-11
Outdoor Game Operator;Outdoor city scavenger hunt;Maranja Adventure Club;Maranja Adventure Club;;Berlin;OK_BERLIN;;;https://www.maranja.eu;;https://www.google.com/maps/search/Maranja+Adventure+Club+Berlin;https://www.maranja.eu;Good facilitation for team play;mittel;2026-02-11
Urban Adventure Operator;Outdoor city scavenger hunt;CityHunters Berlin;CityHunters Berlin;;Berlin;OK_BERLIN;;;https://cityhunters.de;;https://www.google.com/maps/search/CityHunters+Berlin+Berlin;https://cityhunters.de;Suitable for company groups;mittel;2026-02-11
City Tour/Challenge Operator;Outdoor city scavenger hunt;QuerfeldBerlin;QuerfeldBerlin;;Berlin;OK_BERLIN;;;https://querfeld.berlin;;https://www.google.com/maps/search/QuerfeldBerlin+Berlin;https://querfeld.berlin;Social-impact angle + value;mittel;2026-02-11
Tour Operator;Outdoor city scavenger hunt;Berlin on Bike;Berlin on Bike;;Berlin;OK_BERLIN;;;https://berlinonbike.de;;https://www.google.com/maps/search/Berlin+on+Bike+Berlin;https://berlinonbike.de;Strong route coverage per euro;mittel;2026-02-11
Self-guided App;Outdoor city scavenger hunt;GPSmyCity Berlin;GPSmyCity Berlin;;Berlin;OK_BERLIN;;;https://www.gpsmycity.com;;https://www.google.com/maps/search/GPSmyCity+Berlin+Berlin;https://www.gpsmycity.com;Cheapest scalable scavenger format;mittel;2026-02-11
