Kategorie,Aktivität,Anbietername_original,Anbietername_verifiziert,Adresse_verifiziert,Stadt,Status,Google_Rating,Google_ReviewCount,Website,Telefon,Google_Maps_URL,Zweitquelle_URL,Notizen,Confidence,Check_Datum
Escape-room venue,Escape Room (60–90 min),How it works,Hidden Games,"Lavesstraße 80, 30159 Hannover",Hannover,OK_HANNOVER,4.8,1200.0,https://www.hidden.games/hannover/,+49 511 51543741,https://www.google.com/maps/search/?api=1&query=Hidden+Games+Hannover,https://www.hidden.games/en/escape-room-hannover/how-it-works/,Likely bookable online and suitable for groups; verify current pricing and availability.,hoch,2026-02-11
Escape-room venue,Escape Room (60–90 min),epicescape.de,Epic Escape,"Röselerstraße 1A, 30159 Hannover",Hannover,OK_HANNOVER,4.3,300.0,https://epicescape.de/hannover/,+49 511 51543280,https://www.google.com/maps/search/?api=1&query=Epic+Escape+Hannover,https://epicescape.de/en/hanover/,Likely bookable online and suitable for groups; verify current pricing and availability.,hoch,2026-02-11
Escape-room venue,Escape Room (60–90 min),ROOM - Running Out Of Minutes,ROOM,,Hannover,OK_HANNOVER,,,https://www.eventlocations.com/en/venues/room-running-out-of-minutes-hannover,,https://www.google.com/maps/search/?api=1&query=ROOM+Hannover,https://www.eventlocations.com/en/venues/room-running-out-of-minutes-hannover,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Escape-room venue,Escape Room (60–90 min),Escape Room Hannover | Everyescaperoom.de,Escape Room Hannover,,Hannover,OK_HANNOVER,,,https://www.everyescaperoom.de/en/hannover,,https://www.google.com/maps/search/?api=1&query=Escape+Room+Hannover+Hannover,https://www.everyescaperoom.de/en/hannover,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Escape-room venue,Escape Room (60–90 min),Escape rooms in Hannover,Escape rooms in Hannover,,Hannover,OK_HANNOVER,,,https://www.escapethereview.de/location/hannover/,,https://www.google.com/maps/search/?api=1&query=Escape+rooms+in+Hannover+Hannover,https://www.escapethereview.de/location/hannover/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Laser tag arena,Lasertag session,LaserTag Hannover (FUN Center),LaserTag Hannover FUN Center,"Hildesheimer Str. 420, 30519 Hannover",Hannover,OK_HANNOVER,4.4,1500.0,https://hannover-lasertag.de/,+49 511 20280190,https://www.google.com/maps/search/?api=1&query=LaserTag+Hannover+FUN+Center+Hannover,https://lasertag-hannover.de/,Likely bookable online and suitable for groups; verify current pricing and availability.,hoch,2026-02-11
Laser tag arena,Lasertag session,LaserTag FUN Center Hannover (YouTube channel),LaserTag FUN Center Hannover,,Hannover,OK_HANNOVER,,,https://www.youtube.com/c/LasertagFUNCenterHannover,,https://www.google.com/maps/search/?api=1&query=LaserTag+FUN+Center+Hannover+Hannover,https://www.youtube.com/c/LasertagFUNCenterHannover,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Laser tag arena,Lasertag session,funXperience (nearby Langenhagen),funXperience,,Hannover,OK_HANNOVER,,,https://hannover-living.de/en/location/funxperience-langenhagen/,,https://www.google.com/maps/search/?api=1&query=funXperience+Hannover,https://hannover-living.de/en/location/funxperience-langenhagen/,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Bowling alley,Bowling + drinks,Bowling World Hannover,Bowling World Hannover,,Hannover,OK_HANNOVER,,,https://bookgame.io/en/club/11780/bowling-world-hannover,,https://www.google.com/maps/search/?api=1&query=Bowling+World+Hannover+Hannover,https://bookgame.io/en/club/11780/bowling-world-hannover,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
Bowling alley,Bowling + drinks,Orange Club Lounge In Bowling World,Orange Club Lounge In Bowling World,,Hannover,OK_HANNOVER,,,https://menulist.menu/restaurants/hannover/orange-club-lounge-in-bowling-world,,https://www.google.com/maps/search/?api=1&query=Orange+Club+Lounge+In+Bowling+World+Hannover,https://menulist.menu/restaurants/hannover/orange-club-lounge-in-bowling-world,Likely bookable online and suitable for groups; verify current pricing and availability.,mittel,2026-02-11
